USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.3  23328 13712 ?        Ss   22:18   0:04 /sbin/init splash
root          85  0.2  0.0      0     0 ?        S    22:18   0:02 [migration/11]
root          86  0.0  0.0      0     0 ?        S    22:18   0:00 [ksoftirqd/11]
root          88  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/11:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    22:18   0:00 [cpuhp/12]
root          90  0.0  0.0      0     0 ?        S    22:18   0:00 [idle_inject/12]
root          91  0.2  0.0      0     0 ?        S    22:18   0:02 [migration/12]
root          92  0.0  0.0      0     0 ?        S    22:18   0:00 [ksoftirqd/12]
root          94  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/12:0H-events_highpri]
root          95  0.0  0.0      0     0 ?        S    22:18   0:00 [cpuhp/13]
root          96  0.0  0.0      0     0 ?        S    22:18   0:00 [idle_inject/13]
root          97  0.2  0.0      0     0 ?        S    22:18   0:02 [migration/13]
root          98  0.0  0.0      0     0 ?        S    22:18   0:00 [ksoftirqd/13]
root         100  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/13:0H-events_highpri]
root         101  0.0  0.0      0     0 ?        S    22:18   0:00 [cpuhp/14]
root         102  0.0  0.0      0     0 ?        S    22:18   0:00 [idle_inject/14]
root         103  0.2  0.0      0     0 ?        S    22:18   0:02 [migration/14]
root         104  0.0  0.0      0     0 ?        S    22:18   0:00 [ksoftirqd/14]
root         106  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/14:0H-events_highpri]
root         107  0.0  0.0      0     0 ?        S    22:18   0:00 [cpuhp/15]
root         108  0.0  0.0      0     0 ?        S    22:18   0:00 [idle_inject/15]
root         109  0.2  0.0      0     0 ?        S    22:18   0:02 [migration/15]
root         110  0.0  0.0      0     0 ?        S    22:18   0:00 [ksoftirqd/15]
root         112  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/15:0H-events_highpri]
root         115  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/u515:0-events_unbound]
root         116  0.6  0.0      0     0 ?        I    22:18   0:07 [kworker/u516:0-events_unbound]
root         119  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/u514:2-events_unbound]
root         121  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/u514:4-events_unbound]
root         123  0.0  0.0      0     0 ?        S    22:18   0:00 [kdevtmpfs]
root         124  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-inet_frag_wq]
root         125  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/u513:1-events_unbound]
root         126  0.0  0.0      0     0 ?        S    22:18   0:00 [kauditd]
root         127  0.0  0.0      0     0 ?        S    22:18   0:00 [khungtaskd]
root         128  0.0  0.0      0     0 ?        S    22:18   0:00 [oom_reaper]
root         129  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/u513:2-events_unbound]
root         130  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-writeback]
root         131  0.0  0.0      0     0 ?        S    22:18   0:00 [kcompactd0]
root         132  0.0  0.0      0     0 ?        SN   22:18   0:00 [ksmd]
root         133  0.1  0.0      0     0 ?        SN   22:18   0:02 [khugepaged]
root         134  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-kintegrityd]
root         135  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-kblockd]
root         136  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-blkcg_punt_bio]
root         137  0.0  0.0      0     0 ?        S    22:18   0:00 [irq/9-acpi]
root         139  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/2:1-mm_percpu_wq]
root         141  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-tpm_dev_wq]
root         142  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-edac-poller]
root         143  0.0  0.0      0     0 ?        I<   22:18   0:00 [kworker/R-devfreq_wq]
root         148  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/4:1-events]
root         151  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/8:1-ata_sff]
root         152  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/5:1-events]
root         153  0.0  0.0      0     0 ?        I    22:18   0:00 [kworker/13:1-mm_percpu_wq]
root         154  0.0  0.0      0     0 ?        S    22:19   0:00 [kswapd0]
root         156  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u515:1-events_unbound]
root         159  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u516:2-flush-8:0]
root         164  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-kthrotld]
root         168  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/24-pciehp]
root         169  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/25-pciehp]
root         170  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/26-pciehp]
root         171  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/27-pciehp]
root         172  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/28-pciehp]
root         173  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/29-pciehp]
root         174  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/30-pciehp]
root         175  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/31-pciehp]
root         176  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/32-pciehp]
root         177  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/33-pciehp]
root         178  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/34-pciehp]
root         179  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/35-pciehp]
root         180  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/36-pciehp]
root         181  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/37-pciehp]
root         182  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/38-pciehp]
root         183  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/39-pciehp]
root         184  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/40-pciehp]
root         185  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/41-pciehp]
root         186  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/42-pciehp]
root         187  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/43-pciehp]
root         188  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/44-pciehp]
root         189  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/45-pciehp]
root         190  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/46-pciehp]
root         191  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/47-pciehp]
root         192  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/48-pciehp]
root         193  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/49-pciehp]
root         194  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/50-pciehp]
root         195  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/51-pciehp]
root         196  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/52-pciehp]
root         197  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/53-pciehp]
root         198  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/54-pciehp]
root         199  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/55-pciehp]
root         200  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-acpi_thermal_pm]
root         201  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-mld]
root         202  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/4:1H-kblockd]
root         203  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-ipv6_addrconf]
root         204  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u512:1-ipv6_addrconf]
root         209  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-kstrp]
root         213  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u517:0]
root         214  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u518:0]
root         215  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u519:0-ttm]
root         216  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u520:0]
root         217  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/u521:0-ttm]
root         222  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-cryptd]
root         224  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/11:1-events]
root         225  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/7:1-cgroup_destroy]
root         226  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/6:1-events]
root         284  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u516:3-events_unbound]
root         327  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/1:1H-kblockd]
root         357  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/13:1H-kblockd]
root         359  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/3:1H-kblockd]
root         367  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/0:1H-kblockd]
root         368  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/2:1H-kblockd]
root         387  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/12:1H-kblockd]
root         395  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/8:1H]
root         397  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/11:1H-kblockd]
root         398  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/10:1H-kblockd]
root         399  0.1  0.0      0     0 ?        I    22:19   0:01 [kworker/9:2-events]
root         400  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/7:1H-kblockd]
root         401  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/6:1H-kblockd]
root         424  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-ata_sff]
root         428  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-mpt_poll_0]
root         429  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-mpt/0]
root         430  0.0  0.0      0     0 ?        S    22:19   0:00 [scsi_eh_0]
root         433  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-scsi_tmf_0]
root         434  0.0  0.0      0     0 ?        S    22:19   0:00 [scsi_eh_1]
root         435  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-scsi_tmf_1]
root         438  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/16-vmwgfx]
root         439  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-ttm]
root         440  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/0:2-events]
root         441  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/6:2-cgroup_destroy]
root         442  0.0  0.0      0     0 ?        S    22:19   0:00 [scsi_eh_2]
root         443  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-scsi_tmf_2]
root         444  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/7:2-mm_percpu_wq]
root         448  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/15:2-events]
root         489  0.0  0.0      0     0 ?        S    22:19   0:00 [jbd2/sda1-8]
root         490  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-ext4-rsv-conversion]
root         539  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/56-vmw_vmci]
root         540  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/57-vmw_vmci]
root         541  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/58-vmw_vmci]
root         555  0.0  0.4  50440 19472 ?        Ss   22:19   0:00 /usr/lib/systemd/systemd-journald
root         575  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/5:2-ata_sff]
root         578  0.0  0.0 152356  1748 ?        Ssl  22:19   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
systemd+     581  0.0  0.1  91164  7816 ?        Ssl  22:19   0:00 /usr/lib/systemd/systemd-timesyncd
root         586  0.0  0.2  36592 10944 ?        Ss   22:19   0:00 /usr/lib/systemd/systemd-udevd
root         588  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/2:2-ata_sff]
root         612  0.0  0.0      0     0 ?        S    22:19   0:00 [psimon]
root         656  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/12:2-events]
root         727  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/14:2-mpt_poll_0]
root         744  0.0  0.1   8368  7516 ?        Ss   22:19   0:00 /usr/sbin/haveged --Foreground --verbose=1
root         752  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/0:3-events]
root         757  0.0  0.1 309248  7068 ?        Ssl  22:19   0:00 /usr/libexec/accounts-daemon
message+     758  0.0  0.1  10172  6176 ?        Ss   22:19   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      763  0.0  0.2 382376  9440 ?        Ssl  22:19   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         766  0.0  0.2  18424  8576 ?        Ss   22:19   0:00 /usr/lib/systemd/systemd-logind
root         769  0.3  0.2 113460  9360 ?        Ssl  22:19   0:04 /usr/bin/vmtoolsd
